,bathrooms,bedrooms,building_id,created,description,display_address,features,interest_level,latitude,listing_id,longitude,manager_id,photos,price,street_address,price_scaled,GeoC,county,neigh,cl_sub
60956,1.0,3,13681bb2ddd58d7da71dd693fe65ffaf,2016-05-21 08:57:10,"Natural sunlit spacious 3 bedroom apartment + Laundry +Short term allowed  LOCATED in the heart of the EAST VILLAGE , with little foot traffic and minimal noise. Easily fits queen sized bed, couch and other small piecesThe Living Room will easily fit a couch, coffee table, & a small dining tableGranite kitchen with large refrigerator& beautiful oak wood cabinetsµwave ovenSteps from movie theater, shopping, and restaurants, walk to work, amazing  East Village location!See for yourself why these apartments are so in demand!P",502 east 5th street,"['Cats Allowed', 'Dogs Allowed', 'Short Term Allowed', 'Laundry In Building']",low,40.7243,7050635,-73.9838,67e232e16c6614f1a9e543d91db326d7,"['https://photos.renthop.com/2/7050635_ba97c9a472d0b31f0da2c84bf68a48ff.jpg', 'https://photos.renthop.com/2/7050635_a2739d108f1eb8a8379dff6857f55b01.jpg', 'https://photos.renthop.com/2/7050635_1f6223692ec2bae5b92d2154216e7ee1.jpg', 'https://photos.renthop.com/2/7050635_e998d3f489c57b32ce26c3aff543081e.jpg', 'https://photos.renthop.com/2/7050635_7ae90bfdcc2f33bb575ae045ab01308d.jpg']",3400,512 east 5th street,850.0,"40.7243,-73.9838", New York County,not available,528.0793563994703
52495,1.0,1,32a31ca5a1a72daffd978c804022bcbe,2016-05-05 04:50:55,"        READY TO MOVE IN - 1 Bedroom / 1 Bathroom with Elevator, Laundry in the building, Subway easy, Right next to the riverside<br /><br />Seconds to Columbia University. Right off Broadway and Riverside! This spacious 1 bedroom apartment is located in an elevator, laundry in building, and live-in super building that also has a bike room. It features hardwood floors, an open kitchen, counter top and spacious closets. The apartment is only  Fairway Market, great restaurants like Toast, Dinosaur BBQ, and Pisticci. Also easy access to Riverside Park, and public transportation (1, A, B, C, D).  <br />Hardwood Floors, Renovated, Bathroom is Being Gut Renovated, Kitchen is Being Gut Renovated<br /><br />Pets welcome! <br /><br />Subways<br />1 at 125th St under 500 feet <br />A/C/B/D at 125th St 0.5 miles <br />B/C at 135th St 0.6 miles <br /><br />Please contact April Lin at 792-339-4709 for immediate showing! (Fluent in Chinese) ",Tiemann Place,['Elevator'],low,40.8157,6968924,-73.9592,cb8c110c47bf709e413ed0a0ac40dc09,"['https://photos.renthop.com/2/6968924_bca078d51ea1b6b1e6462bea561a0492.jpg', 'https://photos.renthop.com/2/6968924_8fa8b864260a7b732c56c9b919a0c6f5.jpg', 'https://photos.renthop.com/2/6968924_6f3fde0e5ed31df0f728c6dcc6de3d11.jpg', 'https://photos.renthop.com/2/6968924_42810756d67245c566d7161e7974ae6e.jpg', 'https://photos.renthop.com/2/6968924_c8f453c2e70606e8492b4e0776013a2b.jpg', 'https://photos.renthop.com/2/6968924_038e0b999769207ce8c647e3d1721418.jpg']",2350,45 Tiemann Place,1175.0,"40.8157,-73.9592", New York County,not available,71.09655554855246
57537,3.5,3,41b3f5da3a9d25611fda51a320de54f4,2016-05-03 06:20:55,"Amazing deal in beautiful and spacious apartment just off Central Park West!!  Apartment and building have been completely re-imagined and redesigned.**NO FEE** AND **FREE RENT** CONCESSIONS AVAILABLE<br /><br />The lobby is a rich, Art Deco design that incorporates authentic period furnishings.Apartments and common areas offer luxurious condominium finishes, fixtures and appliances. The heating and cooling is state-of-the-art. The exceptional amenities are brand new, while the building's historic pre-war character has been preserved. Amenities include a 24-hour white-glove concierge, the rooftop garden replete with sunning chaises, outdoor barbecue and sumptuous seating, outdoor fireplace, a children?s playroom and a pet spa.<br /><br />>>>FOR A PRIVATE VIEWING CALL/TEXT DALE: 103-384-7930 OR EMAIL: kagglemanager@renthop.com<<<<br /><br />***NOT WHAT YOU ARE LOOKING FOR? FEEL FREE TO CALL OR EMAIL WITH ANY QUESTIONS OR SPECIAL REQUESTS. I'LL BE MORE THAN HAPPY TO FURTHER ASSIST YOU IN YOUR SEARCH***<p><a  website_redacted ",W 86th St,"['Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'No Fee']",low,40.786,6959933,-73.9703,0a6a21926fc12087cf67f42c6877f317,"['https://photos.renthop.com/2/6959933_0cc822065691072bec8b14cc8845ff0a.jpg', 'https://photos.renthop.com/2/6959933_c15888744fb86722ddaa5c5beb01097e.jpg', 'https://photos.renthop.com/2/6959933_93bbe39034e6a488d25107a0443ec9e7.jpg', 'https://photos.renthop.com/2/6959933_d61a87d8014ec34bc90db6934e8765e6.jpg', 'https://photos.renthop.com/2/6959933_39aae5c0e7c84018395cb93f9f7ea88b.jpg', 'https://photos.renthop.com/2/6959933_6e2bca2c3746316eeccc9b57228417c8.jpg', 'https://photos.renthop.com/2/6959933_c511d5bfa0fc7d990806a4c5694fe978.jpg', 'https://photos.renthop.com/2/6959933_779d11e4865078c30ee19dd8e34ee869.jpg']",12900,21 W 86th St,1984.6153846153845,"40.786,-73.9703", New York County,not available,125.74999687560285
58723,1.0,2,0,2016-05-22 03:21:27,"**NO FEE**EXPOSED BRICK**STAINLESS STEEL APPLIANCES**WASHER/DRYER IN BLDG**DISHWASHER**MICROWAVE**HARDWOOD FLOORS**RENOVATED KITCHEN AND BATHROOM**EAT-IN KITCHEN**PREWAR BUILDING**NEAR ST. NICHOLAS PARK**NEAR 1 TRAIN**Call or Email Daoud to Schedule an Appointment (320-680-7802 &lt;&gt; kagglemanager@renthop.com PLACE: (*Photos of Actual Apartment*)NO FEE - Exposed Brick- Stainless Steel Appliances- Washer/Dryer in BLG!!- Dishwasher- Microwave- Hardwood Floors- Sunny- Modern kitchen- Lots of closet space- Heat and hot water included- A few short blocks to the 1 TrainTHE BUILDING:- Well Maintained Prewar Building- Pets ok case by case basis- Just Steps to Restaurants, Shopping, Supermarkets, Laundry, St. Nicholas Park, NEAR 1 train.**APPLICANTS should have GOOD credit and annual incomes of 35-40X the monthly rent. GUARANTORS are welcome with EXCELLENT Credit and annual incomes of 70-80X the monthly rent.***'If you see something (you like) say something'! Let me help you follow your instincts and act fast to beat out those trepidatious teeter-totters. I have SEVERAL listings to fit any lifestyle.***Let's get you Uptown in this hidden oasis where there's lots of space and more bang for your buck. Call me!**Call or Email Daoud to Schedule an Appointment (320-680-7802 &lt;&gt; kagglemanager@renthop.com",W.148th St,"['prewar', 'Dogs Allowed', 'Cats Allowed', 'LOWRISE', 'SIMPLEX', 'HARDWOOD', 'No Fee']",low,40.8289,7052594,-73.9497,0c90cd639a3cb7f7b8ecff7a488995ee,"['https://photos.renthop.com/2/7052594_3b9a2bb414d5537c93ba7f188fcc27f2.jpg', 'https://photos.renthop.com/2/7052594_34fd86a60a653f5a72f4da30b90ccbb3.jpg', 'https://photos.renthop.com/2/7052594_905afdd101b1176801fb4edcf92b89ea.jpg']",2500,611 W.148th St,833.3333333333334,"40.8289,-73.9497", New York County,not available,266.73273644101437
19412,1.0,1,0,2016-06-03 04:13:39,        ,Worth Street,"['Doorman', 'Elevator', 'Fitness Center', 'Cats Allowed', 'Dogs Allowed']",low,40.7163,7103742,-74.0042,fc81b75568d3655a922523cb0d77ea5b,"['https://photos.renthop.com/2/7103742_9c2e59a03ae10a0ce8a7aa7326a8cb96.jpg', 'https://photos.renthop.com/2/7103742_70e0773922b8826b7175e19996154460.jpg', 'https://photos.renthop.com/2/7103742_529d1abea10c977651e598664fe7e8af.jpg', 'https://photos.renthop.com/2/7103742_7dd9f2a961c342e1229d936fb74dff3b.jpg', 'https://photos.renthop.com/2/7103742_02e5e00973bb2fc703e8978978eceb6b.jpg', 'https://photos.renthop.com/2/7103742_b3544ead0008b1af394727c019b79ec9.jpg', 'https://photos.renthop.com/2/7103742_54b738eef3a89392ae79349524aea046.jpg', 'https://photos.renthop.com/2/7103742_911c306796ae4de339a94d8b378a728a.jpg', 'https://photos.renthop.com/2/7103742_3c4b8204f294f5dde35ad788f5179bee.jpg']",3150,95 Worth Street,1575.0,"40.7163,-74.0042", New York County,not available,347.03252978912366
3872,1.0,1,0,2016-06-21 01:12:23,"**MODERN ONE BEDROOM W/ WASHER &amp; DRYER IN UNIT** Units come furnished or unfurnished for a 3 month minimum. Price may vary with length of term and if unit is furnished.All of the units are one of a kind. Each has breathtaking unobstructed double exposure city and river views from floor to ceiling windows. The apartments feature stainless steel Bosch (dish washer, W/D, stove and microwave) and Sub Zero ( Fridge) appliances, white oak flooring , granite countertops in kitchen , marble bathrooms , washer/dryer in the unit , walk-in closets with white oak and glass pantries.The building amenities are 24-hour concierge/valet, Ice skating rink, tennis court, golf driving range , large lap swimming pool , sauna, residents' multi-media lounge and billiards room on the 47th floor, valet services ( laundry and dry cleaning on site) , state-of-the-art fitness center , yoga/Pilates studio , fully-landscaped terraces/sundeck , building-wide wireless Internet system , on-site storage available , bike storage , pet friendly , valet parking available , basketball courts, bocci ball , free bicycle Usage , BBQ Grills , free daily breakfast and across town shuttle bus. This area is convenient with a variety of shops, gyms, big screen movie theater, great bars, restaurants and supermarkets to choose from. Great access to public transportation. All train and bus services are right outside your door for a fast and easy commute. For an immediate response contact DONNA by Mobile# or Email today to schedule your viewing. Also, Please be advised anything else that you see on our website I have access to. Please feel free to send me those web id # ",West 42nd Street,"['Swimming Pool', 'Doorman', 'Fitness Center', 'Furnished', 'Dogs Allowed', 'Cats Allowed']",low,40.7613,7186439,-73.9993,b6007ea0552789022b9ede4b30098cbc,"['https://photos.renthop.com/2/7186439_9f364774ed25901cbeba1d5e5d8f65e3.jpg', 'https://photos.renthop.com/2/7186439_213ff945c96639dbea924a1911ad1d18.jpg', 'https://photos.renthop.com/2/7186439_eb2aa77fa68dd21316e21f0faa76b5e0.jpg', 'https://photos.renthop.com/2/7186439_cb47b1483106c6113254582f6f2e38c8.jpg', 'https://photos.renthop.com/2/7186439_f64df0ee029374f4c3a1baf15e4468cc.jpg', 'https://photos.renthop.com/2/7186439_12b7937645dbc1c631f7154a9fac82ee.jpg', 'https://photos.renthop.com/2/7186439_9257126b59c79c7af449777aabe3e91e.jpg', 'https://photos.renthop.com/2/7186439_538db6f6a51da7931727d1d61d86af05.jpg']",3800,635 West 42nd Street,1900.0,"40.7613,-73.9993", New York County,not available,694.551339137963
19888,1.0,1,96274288c84ddd7d5c5d8e425ee75027,2016-06-29 06:16:02,"Uptown Views with Partial river view.  Available Immediately.Designed by the award-winning firm Handel Architects, 505W37 is Midtown's newest luxury living icon. The studio, one, two and three-bedroom apartments feature bright, open layouts with energy-efficient floor-to-ceiling windows, sleek wood strip floors, high ceilings and modern stainless steel appliances. Many apartments also include spacious private balconies or terraces, while nearly every home offers breathtaking views of the Manhattan skyline, including the Chrysler Building, Empire State Building, Statue of Liberty, as well as the High Line and Hudson River.Located at 10th Avenue and 37th Street in the dynamic, up-and-coming Hudson Yards neighborhood, 505W37 offers residents a spectacular set of amenities and services, including a state of the art fitness center and spacious first-floor lounge area with wifi access. The 2nd floor mezzanine terrace features an infinity-edged reflecting pool, complete with sun lounges and cabanas ' the perfect setting for socializing or sunbathing on a relaxing afternoon. The 37th floor, overlooking the Hudson River, features the Sky Club, a spectacular lounge with access to a fully landscaped outdoor wrap-around roof deck.As Hudson Yards continues to expand, it is quickly becoming one of New York City's most exciting and sought after neighborhoods. Convenient shops, a local grocery store, on-site parking garage and easy access to public transportation all add to the convenience and ease of your life at 505W37.<br /><br />Lobby Lounge,Non-smoking,Package Room,Water Feature,Laundry Room,24-Hour Doorman,ATM in Building,Club Room,Landscaped Roof Deck.. Call or text me to view this apartment : Marco 826-832-0551 email: kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ",West 37th Street,"['Swimming Pool', 'Roof Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Garden/Patio', 'Laundry in Building', 'High Speed Internet', 'Dogs Allowed', 'Cats Allowed']",low,40.7568,7232878,-73.9982,aed3fc257f3137f678c0d760c41de0f8,"['https://photos.renthop.com/2/7232878_418bb5581d6cacc4264c44df96fc40a9.jpg', 'https://photos.renthop.com/2/7232878_74847a0cdbc3be21f441b5ac6a8047e8.jpg', 'https://photos.renthop.com/2/7232878_80e0f0d363c971538f1e7d8a379229cf.jpg', 'https://photos.renthop.com/2/7232878_a14f18522a106d9f933f06034edfda72.jpg', 'https://photos.renthop.com/2/7232878_e95f8b343b20ab64f2618df06b04d416.jpg', 'https://photos.renthop.com/2/7232878_322786dd77e9bf094ebdceedf7358bc3.jpg', 'https://photos.renthop.com/2/7232878_25436df214ec6db1c770bc842f2213fe.jpg', 'https://photos.renthop.com/2/7232878_03c3517e5c2c6e57e60660678cf8a3a7.jpg', 'https://photos.renthop.com/2/7232878_f532a0d9a3cbe2a67b033156277d0396.jpg', 'https://photos.renthop.com/2/7232878_a387efcf16f2c93b3db65dfaae87c04d.jpg', 'https://photos.renthop.com/2/7232878_b64ab62908647cf4b632adf2fdc5a03f.jpg', 'https://photos.renthop.com/2/7232878_893fa028a8c179a0f2c261e72c9fd8ac.jpg', 'https://photos.renthop.com/2/7232878_29a77512c152124b35568095c5094372.jpg', 'https://photos.renthop.com/2/7232878_17ad582691ca9dfa6e2089b189b3c5c1.jpg', 'https://photos.renthop.com/2/7232878_956954f4f3ba734d87759a0f83a724fc.jpg']",3765,505 West 37th Street,1882.5,"40.7568,-73.9982", New York County,not available,369.4924642557152
19684,1.0,1,b8e370a501913900c432adb2416799e8,2016-06-29 05:57:25,"Huge DUPLEX 1 bedroom! located in a luxury elevator building with laundry and live in super! This apartment has a huge gorgeous  open granite eat-in-kitchen with dishwasher and full-size appliances. Living room easily fits large sectional couch as well as a large entertainment center and additional furniture. Bedroom fits a queen size bed with dresser, and nightstand. Enormous  walk-in closet space. High ceilings. Central AC and heat. Heat and hot water included. Video intercom and alarm system. Distance to the train and shopping stores is right at your finger tips!<br /><br />Contact Chris to set up an appointment (170-304-7893 or kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ",East 77th Street,"['Elevator', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space']",low,40.771,7232333,-73.9533,cb87dadbca78fad02b388dc9e8f25a5b,"['https://photos.renthop.com/2/7232333_5201c540a4b12d5101a2c5c5b8f174c9.jpg', 'https://photos.renthop.com/2/7232333_a10f7200032c92233e16ee72b5a9f668.jpg', 'https://photos.renthop.com/2/7232333_c90b83d69b849723f59561f32c8fc7c6.jpg', 'https://photos.renthop.com/2/7232333_fa5ef757187e61b1963d697ffa4e2041.jpg', 'https://photos.renthop.com/2/7232333_a550db7625022fbe685dfa1723cf9b49.jpg', 'https://photos.renthop.com/2/7232333_36609f46da312a6e434c1e58c07a9983.jpg']",2800,401 East 77th Street,1400.0,"40.771,-73.9533", New York County,not available,492.11826008985025
34174,1.0,1,0,2016-06-12 03:45:44,"Location: 111th and 7th AveTrain: 2/3 @ 110th and Lenox and B/C @ 110th and Frederick Douglass Pets: OK Features: * Charming kitchen * Lovely home* Pet friendly * Two blocks north of Central Park? Think About That For A Second! * Perfect proximity to Columbia University (REALLY close), Mt. Sinai Med School/Hospital, and CCNY is easy to get to as well * Morningside Park is a few blocks west ---- Actual photos of the apartment -----This is a fee apartment. To qualify for this apartment you must make 40x the monthly rent in annual income and have credit in the high 600s. Guarantors okay.If this isn't working for you it's cool - Bohemia has the most exclusives uptown and I can show you everything we have!",West 111 St.,"['prewar', 'Dogs Allowed', 'Cats Allowed', 'LOWRISE', 'SIMPLEX', 'HARDWOOD']",low,40.7995,7146148,-73.9541,94e87282640f0a3bd6835ce386618a55,"['https://photos.renthop.com/2/7146148_14344c50992d17edbff3e3c85193add4.jpg', 'https://photos.renthop.com/2/7146148_dcfd9a68f8acb96bd5b18ae3bdffccd4.jpg', 'https://photos.renthop.com/2/7146148_f2ae11f47c9ca8bc2f84dc5e3d592eb1.jpg', 'https://photos.renthop.com/2/7146148_efa800b0fc0e01a9b2f484450ae8e941.jpg', 'https://photos.renthop.com/2/7146148_361eb71cc91ec4bea2f5d37527813a51.jpg']",2100,146 West 111 St.,1050.0,"40.7995,-73.9541", New York County,not available,197.94877603216267
80134,1.0,2,d82131dd47f32dcb7aecc769d619f87d,2016-05-11 03:15:11,<p><a  website_redacted ,Third Ave,"['Roof Deck', 'Doorman', 'Elevator', 'Laundry in Building', 'New Construction', 'Dogs Allowed', 'Cats Allowed']",medium,40.8006,6994157,-73.9377,c1a6598437b7db560cde66e5a297a53f,"['https://photos.renthop.com/2/6994157_d557a03e00878b43fcb6626811c842f1.jpg', 'https://photos.renthop.com/2/6994157_c0d177d262dcf153a91dc3862fe62ba5.jpg', 'https://photos.renthop.com/2/6994157_d4bee8ede56dc3a8bc6516b838e492b3.jpg', 'https://photos.renthop.com/2/6994157_8fb59cdc2efe19b858f5af1002faeb8a.jpg', 'https://photos.renthop.com/2/6994157_89f09c1569fd2967f7bcac5f6eeef059.jpg', 'https://photos.renthop.com/2/6994157_e8b77908b4176346cc3cb01948fe56f2.jpg']",2500,2205 Third Ave,833.3333333333334,"40.8006,-73.9377", New York County,not available,392.99709074877825
